paper_name https://www.aclweb.org/anthology/events/acl-2020/#2020-acl-main,Stage,track,Social Good Topics at ACL 2020,UN 6 goals,country of the first author,affiliaton of the first author,if first author is supported by companies,author
Dependency Graph Enhanced Dual-transformer Structure for Aspect-based Sentiment Classification,2;3,sentiment and argument analysis,,,China,Wuhan University,N,"Hao Tang, Donghong Ji, Chenliang Li and Qiji Zhou"
Synchronous Double-channel Recurrent Network for Aspect-Opinion Pair Extraction,2,sentiment and argument analysis,,,China,Nankai University,N,"Shaowei Chen, Jie Liu, Yu Wang, Wenzheng Zhang and Ziming Chi"
"MATINF: A Jointly Labeled Large-Scale Dataset for Classification, Question Answering and Summarization",2,dataset; sentiment and argument analysis; question answering; summarization,,,China,Wuhan University,N,"Canwen Xu, Jiaxin Pei, Hongtao Wu, Yiyu Liu and Chenliang Li"
Empower Entity Set Expansion via Language Model Probing,2,information extraction,,,US,UIUC,N,"Yunyi Zhang, Jiaming Shen, Jingbo Shang and Jiawei Han"
A Tale of Two Perplexities: Sensitivity of Neural Language Models to Lexical Retrieval Deficits in Dementia of the Alzheimer‚Äôs Type,3,language modeling,healthcare,health and wellbeing,US,UW; UMN,N,Trevor Cohen and Serguei Pakhomov
Improving Multimodal Named Entity Recognition via Entity Span Detection with Unified Multimodal Transformer,2,information extraction,,,China,Nanjing University of Science & Technology,N,"Jianfei Yu, Jing Jiang, Li Yang and Rui Xia"
Generating Diverse and Consistent QA pairs from Contexts with Information-Maximizing Hierarchical Conditional VAEs,2,question answering,,,Korea,KAIST,N,"Dong Bok Lee, Seanie Lee, Woo Tae Jeong, Donghwan Kim and Sung Ju Hwang"
"Exact yet Efficient Graph Parsing, Bi-directional Locality and the Constructivist Hypothesis",2,semantic parsing,,,China,Peking University,N,Yajie Ye and Weiwei Sun
Aligned Dual Channel Graph Convolutional Network for Visual Question Answering,2;3,question answering,,,China,South China University of Technology; Guangxi University,N,"Qingbao Huang, Jielong Wei, Yi Cai, Changmeng Zheng, Junying Chen, Ho-fung Leung and Qing Li"
Learning to execute instructions in a Minecraft dialogue,2,robotics,,,US,UIUC,N,"Prashant Jayannavar, Anjali Narayan-Chen and Julia Hockenmaier"
"In Neural Machine Translation, What Does Transfer Learning Transfer?",2,machine translation; interpretability,interpretability; low-resource,equality,UK,University of Edinburgh,N,"Alham Fikri Aji, Nikolay Bogoychev, Kenneth Heafield and Rico Sennrich"
Integrating Multimodal Information in Large Pretrained Transformers,3,sentiment and argument analysis,,,US,University of Rochester,N,"Wasifur Rahman, Md Kamrul Hasan, Sangwu Lee, AmirAli Bagher Zadeh, Chengfeng Mao, Louis-Philippe Morency and Ehsan Hoque"
Roles and Utilization of Attention Heads in Transformer-based Neural Language Models,2,language modeling; interpretability,,,Korea,KAIST,Dingbro,Jae-young Jo and Sung-Hyon Myaeng
Transition-based Semantic Dependency Parsing with Pointer Networks,2,syntax parsing,,,Spain,Universidade da Coruna,N,Daniel Fern√°ndez-Gonz√°lez and Carlos G√≥mez-Rodr√≠guez
Bridging the Structural Gap Between Encoding and Decoding for Data-To-Text Generation,2;3,data-to-text generation,,,US,UNC Chapel Hill,N,"Chao Zhao, Marilyn Walker and Snigdha Chaturvedi"
Emergence of Syntax Needs Minimal Supervision,1,syntax parsing,,,France,Universite Paris 1 Panth ´ eon-Sorbonne,N,Rapha√´l Bailly and Kata G√°bor
AMR Parsing with Latent Structural Information,2,semantic parsing,,,China,Wuhan University; Westlake University,N,"Qiji Zhou, Yue Zhang, Donghong Ji and Hao Tang"
